Garrett Richards,2 (2019-20),"$15,500,000.00"
Chase Anderson,2 (2018-19),"$11,750,000.00"
Jhoulys Chacin,2 (2018-19),"$15,500,000.00"
Kolten Wong,5 (2016-20),"$25,500,000.00"
Gregory Polanco,5 (2017-21),"$35,000,000.00"
Jeurys Familia,3 (2019-21),"$30,000,000.00"
Mitch Moreland,2 (2018-19),"$13,000,000.00"
Roberto Osuna,1 (2019),"$6,500,000.00"
Joakim Soria,2 (2019-20),"$15,000,000.00"
Tony Watson,2 (2018-19),"$9,500,000.00"
Sean Doolittle,1 (2019),"$6,500,000.00"
Aaron Hicks,7 (2019-25),"$70,000,000.00"
Blake Treinen,1 (2019),"$6,400,000.00"
Michael Wacha,1 (2019),"$6,350,000.00"
Eric Thames,3 (2017-19),"$16,000,000.00"
Ken Giles,1 (2019),"$6,300,000.00"
Pedro Strop,1 (2019),"$6,250,000.00"
Steve Pearce,1 (2019),"$6,250,000.00"
Max Kepler,5 (2019-23),"$35,000,000.00"
Eduardo Escobar,3 (2019-21),"$21,000,000.00"
Robbie Ray,1 (2019),"$6,050,000.00"
Yusmeiro Petit,2 (2018-19),"$10,000,000.00"
Tyler Flowers,1 (2019),"$6,000,000.00"
Nick Markakis,1 (2019),"$6,000,000.00"
Raisel Iglesias,3 (2019-21),"$24,125,000.00"
Noah Syndergaard,1 (2019),"$6,000,000.00"
Mike Fiers,2 (2019-20),"$14,100,000.00"
Zack Wheeler,1 (2019),"$5,975,000.00"
Marcus Semien,1 (2019),"$5,900,000.00"
J.T. Realmuto,1 (2019),"$5,900,000.00"
Kevin Pillar,1 (2019),"$5,800,000.00"
Collin McHugh,1 (2019),"$5,800,000.00"
Robinson Chirinos,1 (2019),"$5,750,000.00"
Tyson Ross,1 (2019),"$5,750,000.00"
Ender Inciarte,5 (2017-21),"$30,525,000.00"
Wil Myers,6 (2017-22),"$83,000,000.00"
Aaron Nola,4 (2019-22),"$45,000,000.00"
Odubel Herrera,5 (2017-21),"$30,500,000.00"
Luke Gregerson,2 (2018-19),"$11,000,000.00"
Mike Foltynewicz,1 (2019),"$5,475,000.00"
Jordy Mercer,1 (2019),"$5,250,000.00"
Billy Hamilton,1 (2019),"$5,250,000.00"
A.J. Pollock,4 (2019-22),"$55,000,000.00"
Fernando Rodney,1 (2019),"$5,250,000.00"
Maikel Franco,1 (2019),"$5,200,000.00"
Javier Baez,1 (2019),"$5,200,000.00"
Luis Severino,4 (2019-22),"$40,000,000.00"
Corey Knebel,1 (2019),"$5,125,000.00"
